web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1584088039-5628","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Karin","A good read","Reviewed in the United States on November 20, 2016","I liked the book.Only not as much as the Harry Potter books themselves. In the books there was room to describe the characters, which made them come alive. In the Cursed Child there wasn't, which made the characters quite distant. But, all in all, a good read and a very good story","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&filterByStar=four_star&pageNumber=53&reviewerType=all_reviews&sortBy=recent"
"1584088110-5953","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","eaduggs","Great read","Reviewed in the United States on October 4, 2016","I thought that the playwrights did a great job of using the world JK created to further the story. Awesome connections back to the time turner and the major theme of friendship.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_86?ie=UTF8&filterByStar=four_star&pageNumber=86&reviewerType=all_reviews&sortBy=recent"
"1584087995-5432","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Thomas L Edmonds","A good story, but not as engaging as reading a ...","Reviewed in the United States on January 20, 2017","A good story, but not as engaging as reading a regular book. It was great to see the continuation of the characters from the previous series, as well as the addition of their children.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&filterByStar=four_star&pageNumber=34&reviewerType=all_reviews&sortBy=recent"
"1584088326-6921","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Amazon Customer","About 3/4 of the way through. If you're thinking ...","Reviewed in the United States on August 4, 2016","About 3/4 of the way through. If you're thinking about buying this you should keep in mind that this is a novelization of a play and not an actual book series entry. Continues the canon of the story and is official, but much different format, prose, and writing style.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_183?ie=UTF8&filterByStar=four_star&pageNumber=183&reviewerType=all_reviews&sortBy=recent"
"1584087944-5208","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Jim.Moor","Four Stars","Reviewed in the United States on March 21, 2018","Never could get through it.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=four_star&pageNumber=11&reviewerType=all_reviews&sortBy=recent"
"1584088300-6805","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Hedwigdhull","Good Effort!","Reviewed in the United States on August 7, 2016","While to me, this play was not the equal of the Harry Potter series,I was so happy to renter the world of Harry Potter! It took a little while to warm to the genre, but after a while, it was less noticeable. It succeeded in leaving me wanting more Harry Potter!!!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_171?ie=UTF8&filterByStar=four_star&pageNumber=171&reviewerType=all_reviews&sortBy=recent"
"1584088034-5599","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","atific","For anyone not reading the book jacket or other reviews ...","Reviewed in the United States on November 28, 2016","For anyone not reading the book jacket or other reviews, this is a play, NOT a novel. It is interesting, but lacks the humor or the novels.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_51?ie=UTF8&filterByStar=four_star&pageNumber=51&reviewerType=all_reviews&sortBy=recent"
"1584088213-6414","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Marissa Smith","Enjoyable Read, not on the same level as the original books","Reviewed in the United States on August 31, 2016","As a Harry Potter fan, knowing going into it that it would be a play (and reading so many bad reviews) I was expecting just another edition in the series - but not holding my breath.
This book was an enjoyable read, and I do not regret my purchase.  Though it is not as great as the main 7 books, I read it for fun, not for critical thinking or as a ""fine piece of literature"". I don't find myself overly analytical of books unless I get bored reading them - and this book definitely kept my attention.
The characters weren't my favorite, and I was a little disappointed at some of the development of Harry, Ron, Hermione and the other adults as compared to their childhood selves. But that's ok - and now I want to see the play!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_132?ie=UTF8&filterByStar=four_star&pageNumber=132&reviewerType=all_reviews&sortBy=recent"
"1584088286-6747","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Sydney","Normal harry potter plot line compared : *No spoilers*","Reviewed in the United States on August 10, 2016","OK if you're looking for the usual Harry Potter plotline this is not for you.  The usual Harry Potter plot line is they are all at home about to go to the Hogwarts express (Harry's children this time).  Something a little odd happens before they go.  They arrive at Kings Cross go through the border get on the train say goodbye to everyone. They all talk on the train meet people arrive at Hogwarts meet Hagrid if their first years.  Then they're all sorted into their houses they all have a big feast the headmaster make a speech and they all go and sleep.  Suspicious things start to happen the new trio which in this case would be Albus Severus Potter, Scorpius Malfoy, and Rose Weasley  go and try to save the day. Get in trouble all along the way but end up saving Hogwarts. In this book this whole book extends over 4 school years and Rose Weasley is barely in.  But if you do want to see an adventure this might be for you. Some characters disappointingly were not in the book. People such as Luna Lovegood, Teddy Lupin, Victoria  Weasley,  Molly Weasley, Arthur Weasley, Seamus Finnegan, Dean Thomas, George Weasley, Bill Weasley, Fleur Delacour, and many others. Neville Longbottom was included but he never actually spoke.  I mean I like the book but it wasn't quite Harry Potter it was not as exciting as it was to read the other ones. You still should buy the book no it's not quite hairy Potter but everyone knows you're anxious to read it. So do because I still like the book and when they no longer sell this version I can say I have it.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_165?ie=UTF8&filterByStar=four_star&pageNumber=165&reviewerType=all_reviews&sortBy=recent"
"1584088341-6991","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Haley Kasprzyk","Worth the read","Reviewed in the United States on August 2, 2016","I like many grew up during the HP generation. I started reading these books when they came out during my elementary years and finished the last book in my senior year of high school. I was so excited to be able to revisit the magic again. I think it's definitely worth the read. It's definitely a different tone because JK Rowling didn't write this play by herself but it's still super fun getting to go back to the world of Harry Potter. So for that reason I say it's worth reading. Just as long as you go into it realizing it's a play written by three people and not just in JK Rowlings voice. I also like seeing the original characters as parents and being able as an adult to relate to them navigating parenthood.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_190?ie=UTF8&filterByStar=four_star&pageNumber=190&reviewerType=all_reviews&sortBy=recent"
