web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1584087928-5131","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Jnekka","Keep the Harry Potter’s coming!","Reviewed in the United States on May 5, 2019","Of course I love anything to do with Harry Potter.  I do wish this was written into a book (instead of a play), but loved it anyway.  The only other thing is I wish it was read by Jim Dale (which is the only reason I gave it 4 instead of 5 stars).","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=four_star&pageNumber=4&reviewerType=all_reviews&sortBy=recent"
"1584088103-5922","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Melvin R. Grover Jr.","Four Stars","Reviewed in the United States on October 4, 2016","It was a good read after you got past the format.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_83?ie=UTF8&filterByStar=four_star&pageNumber=83&reviewerType=all_reviews&sortBy=recent"
"1584088078-5807","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Marshall","Fine book, Good play, Disappointing as part of the Harry Potter Saga","Reviewed in the United States on October 15, 2016","This was a fun read, it was engaging and as ever J.K. Rowling demonstrates an impressive ability to bring her magical world vividly to the imagination of her audience. I also expect that it makes an excellent play that I hope someday to be able to see. This  was a fine book and a good play. However, it was disappointing as a new installment of the Harry Potter Saga. Now, it is hard to fault Rawling for this, as my objection really boils down to her previous work simply being TOO good. It would be hard for any book, much less a play, to hold up to my expectations and unfortunately this play did not.

Below are some of my concerns, to name but a few <Spoilers from here on out>:

The utilization of the time turner trope, unsurprisingly, opens up a large number of plot holes (how do the effects of manipulating the blanket propagate forward without other effects, like there being an Albus and Scorpius or Delphi's machinations; why can't someone at any point in the future make a new unlimited time turner and render all futures unfixed etc.).

Many of the portrayals of characters are disappointing to those of us who grew up with them (the idea that counterfactually Diggory could become a death eater, that Professor Longbottom would not have a more active role at Hogwarts in dealing with the situation, that Harry's scar could start hurting (despite the Horcrux in him being destroyed) is deeply implausible).","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_71?ie=UTF8&filterByStar=four_star&pageNumber=71&reviewerType=all_reviews&sortBy=recent"
"1584087952-5241","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","N. Acosta","Enjoyed","Reviewed in the United States on December 7, 2017","This is not a typical Harry Potter book as it's a screenplay. It's not as in depth as I'm used to, however, it was nice to see where some of my favorite characters ended up. I'd have liked to see a movie version as reading a screenplay doesn't have the same effect as watching it put together. This was a play, which sadly I could not see.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=four_star&pageNumber=15&reviewerType=all_reviews&sortBy=recent"
"1584088135-6068","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Mthomas","Good read! Once you get over the format of ...","Reviewed in the United States on September 29, 2016","Good read! Once you get over the format of it being a play it's a fast read! I don't care for the play format but still worth reading if your a HP fan","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_97?ie=UTF8&filterByStar=four_star&pageNumber=97&reviewerType=all_reviews&sortBy=recent"
"1584088354-7052","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Leanna","I can't compare this to the original series, but it was a fun read","Reviewed in the United States on August 1, 2016","I gave this book four stars because I did legitimately enjoy reading it, and I would recommend it to other Harry Potter fans (and maybe some non-fans!) to read as well. I won't compare this to the original series, because that'd be like trying to compare anything with perfection in my world. There were some things that did bother me about this book though, which I'll get to in a bit.

I'll start with what I liked:
It has been nine years since the last Harry Potter book came out, in which I stood in line dressed as Luna Lovegood nervously avoiding everything in fear of spoilers, and as a die-hard fan I loved the excuse to return to a world I almost feel that I grew up in. I liked reading this play because I've always been eager for more Harry, and this gave me more Harry.
I actually thought it worked well as a play, too. Plays/scripts will by virtue of their format not be able to offer as much detail and description as a book might, especially when reading a script vs seeing it as it was meant to be seen. But GIVEN that it's a play and that has to be expected, I appreciated the description that was included. There was enough in there for me to smile along with a new favorite character (Scorpius) and I definitely cried at the end, but I cry at a lot of things, so take that with a grain of salt.

And the things I DIDN'T like are more because of that die-hard HP fan thing, but I'll give an overview anyway:
Some of the plot points in this book just don't WORK, given the story's previous canon. I won't go into too much detail, because spoilers, but trolley witches? A certain office that seemed far too easy to get into? A kind of major relationship that seems much too far-fetched to ever be considered reality in this universe? I don't know. I just kept pausing while reading this and thinking, but, wait, THAT'S a bit contradictory.

I don't know if I'll return to re-read this many times, but I have no regrets about my midnight trek to buy it among my fellow book-lovers, and I will probably still see the play if given the chance.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_196?ie=UTF8&filterByStar=four_star&pageNumber=196&reviewerType=all_reviews&sortBy=recent"
"1584088318-6882","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","C. Springer","Great, Smooth Read. Genuinely Entertaining.","Reviewed in the United States on August 5, 2016","I don't understand these 1-2 star ratings, I really don't. I thoroughly enjoyed this script book. It might not have been on par with the original Harry Potter series, but it was good in its own right. The pacing was smooth for me, even if it moved a little fast in the beginning. But this isn't a novel, it's supposed to be made into a play. Which is why I understand the pacing and not going into huge details about each year.

[spoiler]Being a Slytherin myself, I love that Albus was sorted into the greatest house and made quick friends with Scorpius. He struggled with the placement, but came to realize it was were he belonged in the end.[/spoiler]

I was hooked on this from the first page and finished it within the second day of owning it. I grew up with Harry Potter, but I wasn't overly excited for this script book since it isn't an actual novel. But it was a pleasant read and I'd recommend it to any fan of the series. Definitely a great insight into what our favorite characters have been up to since leaving Hogwarts. I would love to see this play!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_179?ie=UTF8&filterByStar=four_star&pageNumber=179&reviewerType=all_reviews&sortBy=recent"
"1584088121-6000","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Wesley L. Duffey Jr.","Four Stars","Reviewed in the United States on October 2, 2016","Being based on a play, it was a little different than a regular book, and sometimes hard to follow.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_91?ie=UTF8&filterByStar=four_star&pageNumber=91&reviewerType=all_reviews&sortBy=recent"
"1584088216-6426","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","drebbles","Not as good as the books but worth reading","Reviewed in the United States on August 31, 2016","Harry Potter, The Boy Who Lived, is now a grown man with children of his own who are now attending Hogwarts.  Harry's childhood was not easy and it appears that his son Albus is following in his footsteps.  Albus is sorted into an unexpected house at Hogwarts and his best friend is Scorpius Malfoy, son of Harry's longtime enemy Draco.  Albus has long struggled with being the son of the famous Harry Potter, but this time his struggles will put him - and those closest to him - in very real danger.

I admit that I had mixed feelings about buying “Harry Potter and the Cursed Child”, knowing it was a play and not a book, and - while was based on her ideas - it was not written by J.K. Rowling.  After reading it, I still have mixed feelings.  To be sure, the story is a good one with Albus struggling in his father's footsteps just as Harry struggles to be a good father (as he says at one point he did not have any good examples to follow growing up).  Albus's friendship with Scorpius is well done - I never thought I would like a character whose last name is Malfoy but Scorpius is delightful - in fact, I think he is the real star of the play.  Besides the expected Harry, Ginny, Ron and Hermione, many old favorites appear in this play (some briefly) and there are some poignant and scary moments.  But in the end, this is a play not a book and lacks some of the character development that was in the books. Albus and Harry's relationship is realistically done but I would have liked to have seen more of James and how Albus gets along with him.  Classroom action is pretty much nonexistent in the play.  I found that the play, which is split into two part and is meant to be seen on two separate nights, is overlong (so much dialogue for the actors to learn, especially the young ones!) and feels like it could have used some editing (perhaps with some of the alternate worlds in the play).  I was never bored while reading the play; it just seemed a long play to be sitting in the audience watching.  Having said that, I would certainly go see the play just to see how they pulled off some of the magic - I bet it is awesome to see in person!

“Harry Potter and the Cursed Child” is not as good as any of the books in the series, but Harry Potter fans will enjoy it if only to see what Harry, Hermione, and Ron are like as adults.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_133?ie=UTF8&filterByStar=four_star&pageNumber=133&reviewerType=all_reviews&sortBy=recent"
"1584088025-5562","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Adrian Diaz Gonzalez","While I liked the story somewhat","Reviewed in the United States on December 9, 2016","Ok, I read the Harry Potter series a while back, basically as they came out, it could be just the way this is written (play vs novels) and the way I usually consume the material; so please take with a grain of salt.  While I liked the story somewhat, the character development was not as great as I'd come to expect, and yes, a Play won't allow for this, but I still thought they were somewhat single dimensional.  You'd love this as a Potter fan, and it definitely talks about characters we loved in the past in a somewhat new light, but if you're going there hoping to revisit the old school and the loving moments, it may not fit everyone.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&filterByStar=four_star&pageNumber=47&reviewerType=all_reviews&sortBy=recent"
"1584088295-6780","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Jenny R","A very fun read if you're looking for a new story about the wizarding world and not a new ""Harry Potter"" novel","Reviewed in the United States on August 9, 2016","I have been a fan of the Harry Potter books forever, and I really enjoyed this play. I went into it with an open mind and realized that the play itself was based on a story and not directly written by J.K. Rowling. I felt that it was quite fast moving and I did miss the rich full detail of the original series, but I understand clearly that this is a play, just the dialogue that misses the richness that is filled in by the visuals of watching a play in person. Additionally this wasn't a complex novel, it is the script of a play so the long meandering conversations and slowly developing story that I love about the original books was definitely missing. Again, I don't count this against the play because that is just not what a play is.

I found myself filling in a lot of the missing bits with my own visuals in my head. After having read the books so very many times, J.K. Rowling's original descriptions left me a wonderful imaginative landscape to watch this story play out in. I think as a free standing play without the knowledge and history of Hogwarts, the wizarding world and the characters themselves, this probably comes up short. As a piece of the Harry Potter universe, it was a fun jaunt through nostalgia and I actually found the plot to be unexpected and entertaining.

I read the play for entertainment and I definitely got what I was looking for. If you're looking for a significant addition to the Harry Potter novels akin to another book, you will be disappointed. If you're looking to read the script to a play that tells an interesting story about the goings on of several familiar characters and how life has changed since the original books, then this is a fun read with surprises, laughs, and lots of nostalgia.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_169?ie=UTF8&filterByStar=four_star&pageNumber=169&reviewerType=all_reviews&sortBy=recent"
"1584088044-5642","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Greg Welk","Four Stars","Reviewed in the United States on November 16, 2016","Nice entertaining read. I didn't think it would work for me to read a script but it worked.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_55?ie=UTF8&filterByStar=four_star&pageNumber=55&reviewerType=all_reviews&sortBy=recent"
"1584087997-5444","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Kindle Customer","Very good story","Reviewed in the United States on January 15, 2017","I think I would have enjoyed this more as a novel, but I did enjoy the story. I thought some of the stage directions would be difficult to produce, perhaps better suited to a movie. Also, I thought the characters were a little one dimensional, but a good actor could probably round them out.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_35?ie=UTF8&filterByStar=four_star&pageNumber=35&reviewerType=all_reviews&sortBy=recent"
"1584088069-5762","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","student","Happy","Reviewed in the United States on October 20, 2016","Satisfied  Was better then I expected I had heard so so reviews and was skeptical.  Overall a good book. Thanks","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&filterByStar=four_star&pageNumber=67&reviewerType=all_reviews&sortBy=recent"
"1584088309-6840","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Corei","Nostalgia feels","Reviewed in the United States on August 6, 2016","If you liked the harry potter series, you will love this book. It brings back all the feelings from the original series. However, this book will not bring new fans to the table. Its a short read and worth the money","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_175?ie=UTF8&filterByStar=four_star&pageNumber=175&reviewerType=all_reviews&sortBy=recent"
"1584088020-5547","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Alisha","but it's a good read on its own","Reviewed in the United States on December 12, 2016","It's not up to par with the rest of the series, that's for sure, but it's a good read on its own. I'd put off reading it after hearing some negative reviews, but I gave it a chance and found it pretty good. Some of the plot was fairly predictable or read like fan fiction, but I enjoyed the storyline.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_45?ie=UTF8&filterByStar=four_star&pageNumber=45&reviewerType=all_reviews&sortBy=recent"
"1584088293-6773","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Amazon Customer","It wasn't as good as Rowling's novels","Reviewed in the United States on August 9, 2016","It wasn't as good as Rowling's novels, and there were a couple of points that were odd, but if you're willing to move beyond that I thought it was an excellent play.  As you're reading it keep a performance in your mind and you should enjoy it a good bit.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_168?ie=UTF8&filterByStar=four_star&pageNumber=168&reviewerType=all_reviews&sortBy=recent"
"1584088352-7046","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Cassie R.","Very strange but very enjoyable","Reviewed in the United States on August 1, 2016","I'm not sure how I feel about this. I really enjoyed it and I read it straight through completely captivated but also what the hell did I just read? The storyline itself was a little strange and almost read like fanfiction. It wasn't what I expected at all but it was entertaining enough to keep my attention and I really wanted to see how it ended.

As for characters I really enjoyed Albus and Scorpius. They're friendship was amazing and I would read many more books about them. I also enjoyed the interactions between Harry, Ron, Hermione, and Draco. There where times when I wasn't a huge fan of the way they acted but they did come off as true to character. Delphi was a very interesting character and I'm not sure how I felt about that or her.

This is not exactly how I thought the trio and their children would end up, and I have many of my own headcanons for how I wanted things to be. While this book doesn't follow any of my own wants it was still a wonderful story.

As a whole I really enjoyed reading about these characters and their world again. I would definitely want to see the play preformed if I ever had the chance. It was different from the original series but at the same time it held the same magic and tied into it well.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_195?ie=UTF8&filterByStar=four_star&pageNumber=195&reviewerType=all_reviews&sortBy=recent"
"1584088121-6008","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Katherine Parker","Worth the wait!","Reviewed in the United States on October 2, 2016","I knew it was a screenplay, but I can't help but imagine what a fan-freaking full-length book it would have been!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_91?ie=UTF8&filterByStar=four_star&pageNumber=91&reviewerType=all_reviews&sortBy=recent"
"1584088159-6178","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Dg","good book....","Reviewed in the United States on September 22, 2016","only 4 star because I like a book reading format not a script format.  I wish it came in a choice. so a little disappointed.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_108?ie=UTF8&filterByStar=four_star&pageNumber=108&reviewerType=all_reviews&sortBy=recent"
"1584088313-6861","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Amy Landers","Harry is back!!","Reviewed in the United States on August 5, 2016","I am a huge Harry Potter fan. I fell in love with the books. After reading the reviews, I was disappointed, and was prepared for the worst. I am truly glad, that I read some reviews. Knowing this, is not in traditional book form, prepared me for this format, and limitations, compared to the original series.
Honestly, I really enjoyed it! I was once again, brought back to the world, of wizards and muggles. Of course, I would have liked to read more about my favorite characters, it was still fun! I hope it brings you the entertainment and closure, it brought to me! Enjoy!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_177?ie=UTF8&filterByStar=four_star&pageNumber=177&reviewerType=all_reviews&sortBy=recent"
"1584088352-7039","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Bear","Must be read with realistic expectations.","Reviewed in the United States on August 1, 2016","This book met my expectations for what I thought a ""script book"" might be like. Skimpy in detail, and loaded with theateresque, dramatic dialogue (which again, is what I was expecting). That being said, I think this script book told a good story. It took me about 4 hours to read, and I didn't want to put it down. If the average, diehard, HP fan reads this book with realistic expectations, I think he or she may find it enjoyable. The one thing I didn't like about this book is how rushed it was. And I couldn't help but think the whole time how awesome it would have been if JK were to make the cursed child into a 3 or 4 book series with all of the same magic that came with Harry Potter.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_195?ie=UTF8&filterByStar=four_star&pageNumber=195&reviewerType=all_reviews&sortBy=recent"
"1584088101-5909","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Viola Stough","Enjoyed the book very much, would go to see the play.","Reviewed in the United States on October 5, 2016","From the first sentence you recognize J. K. Rowling and it feels comfortable. I had never read a play before so that was different. Overall I enjoyed the book very much. I would defiantly go tho see the play.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_82?ie=UTF8&filterByStar=four_star&pageNumber=82&reviewerType=all_reviews&sortBy=recent"
"1584088241-6543","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Thomas Hartkop","Easy read for all ages!","Reviewed in the United States on August 23, 2016","This a nice book! An easy read! This is the first book other than technical books and journals I have read this year!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_145?ie=UTF8&filterByStar=four_star&pageNumber=145&reviewerType=all_reviews&sortBy=recent"
"1584088195-6331","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","CatLady","Two thumbs up.","Reviewed in the United States on September 5, 2016","I liked it, i know a lot fans did not but both my daughter and I liked it.  We were aware that it was the play script, so that wasn't a surprise
There are some parts we could do without , that I won't give away but other than that we have no regrets.  It was an easy read too.  No more than a couple of hours.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_124?ie=UTF8&filterByStar=four_star&pageNumber=124&reviewerType=all_reviews&sortBy=recent"
"1584088207-6379","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Kelly Grace","I imagine it's much better actually on stage","Reviewed in the United States on September 2, 2016","It was cute. Not up to My usual Harry Potter standards . I imagine it's much better actually on stage. Can't wait to see the play itself!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_129?ie=UTF8&filterByStar=four_star&pageNumber=129&reviewerType=all_reviews&sortBy=recent"
"1584088220-6439","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Amazon Customer","The books hold interest better. That being said","Reviewed in the United States on August 30, 2016","The books hold interest better. That being said, it is very good. I don't get time to read like I used to.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_135?ie=UTF8&filterByStar=four_star&pageNumber=135&reviewerType=all_reviews&sortBy=recent"
"1584088233-6507","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Dorine White","Odd, but okay","Reviewed in the United States on August 25, 2016","This tale was different enough to be a refreshing addition to the Harry Potter world. Told as a screen play, the story is written in four acts, two parts. It does lack the intensity of previous works, and the world building is all left to the readers imagination. Hopefully you already know the back story, so the images come in loud and clear.

What I liked the best was the way the story looks into the world of the now and the what if? The book starts 19 years after book 7. Harry and Ginnie have three children, and this story is about boy number 2, Albus. Even though written through dialogue, the reader gets a good feel of the angst that surrounds Albus' life as he is always compared to his amazing father. So here we have the present.

Albus is best friends with Draco's son, Scorpius. They are both in Slytherin and spend all their time together. As their years as Hogwart's pass, and they do, real quick, Albus becomes more and more disassociated with his father. When a time-turner is found, Albus thinks this is his moment to outshine his dad. Together, Albus and Scorpius set out to save Cedric Diggery.

So, now we come to the what ifs? The first world we glimpse is one where Hermione and Ron never married.That idea alone is enough to stir up loyal fans. The wrongness comes through in the relationships as Ron has no humor and Herminone is a mean, Defense Against the Dark arts teacher. Then it gets worse. Another fiddle with time brings the reader to a time where Harry died and Voldemort rules,  plus Delores Umbridge runs Hogwarts. Just these two peeks into alternate worlds is fabulous.

Then things get worse and wham, the author's throw in a twist and betrayal that I didn't suspect. Nicely done. I think Harry Potter fans will enjoy this look into Harry's life. The fact that it is written as a screenplay is odd, but okay. I give it 4.5 stars!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_141?ie=UTF8&filterByStar=four_star&pageNumber=141&reviewerType=all_reviews&sortBy=recent"
